Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2021-04-09,1.0618903632,0.9161491076,1.072294887,0.9031362599
XRP,2021-04-10,1.0550273169,1.0565110883,1.0844189927,0.9821430962
XRP,2021-04-11,1.3184414118,1.0181349897,1.3949321923,1.0071750246
XRP,2021-04-12,1.3692542827,1.3723918371,1.4938889849,1.3047773759
XRP,2021-04-13,1.3911648927,1.351759292,1.4140577979,1.3201007005
XRP,2021-04-14,1.7510733708,1.4685535726,1.8880066304,1.4207038211
XRP,2021-04-15,1.8098230215,1.795494341,1.9649851201,1.5731314415
XRP,2021-04-16,1.8037700943,1.835287705,1.8842952406,1.654937521
XRP,2021-04-17,1.6196739154,1.7595663067,1.8104791545,1.4217975872
XRP,2021-04-18,1.5719284211,1.5503805554,1.7427033332,1.5353127349
XRP,2021-04-19,1.449742153,1.5440904504,1.5684914439,1.1701358221
XRP,2021-04-20,1.3529278716,1.4122053163,1.5345093734,1.2519942221
XRP,2021-04-21,1.3680334964,1.3116640512,1.4480365078,1.1831565178
XRP,2021-04-22,1.3118370206,1.3869890257,1.4630538632,1.2958433297
XRP,2021-04-23,1.1800566169,1.2918735827,1.4191577746,1.0941613632
XRP,2021-04-24,1.1186440251,1.1560311903,1.1967074319,0.8923034719
XRP,2021-04-25,1.0852741259,1.1725426409,1.1739254426,1.0260368923
XRP,2021-04-26,1.0270656388,1.0517582532,1.1580425566,0.947159947
XRP,2021-04-27,1.3125997087,1.0366956788,1.3509461112,1.0165525454
XRP,2021-04-28,1.4002529246,1.3649773489,1.4629739199,1.332271901
